266	https://tinyurl.com/microbesigslides	Link to share PDF files as (PMID.pdf):	https://www.dropbox.com/request/BNpgquRv3F0jjvlSar6x	https://tinyurl.com/microbesigs																																																																																																																																							
Dropbox	PubMed	PMID	source within paper	Free-form description	significance threshold	LDA Score >	threshold corrected for MHT? yes/no	control (unexposed) sample size	case (exposed) sample size	case definition 	study design	matched on	confounders controlled for	antibiotics exclusion	Country	host species	body_site	condition	sequencing type	16S variable region	sequencing platform	date of curation	curator	revision 	contrast (list control group last)	UP or DOWN	statistical test	Pielou	Shannon index	Chao1	Simpson	Inverse Simpson	Richness	taxon 1	taxon 2	taxon 3	taxon 4	taxon 5	taxon 6	taxon 7	taxon 8	taxon 9	taxon 10	taxon 11	taxon 12	taxon 13	taxon 14	taxon 15	taxon 16	taxon 17	taxon 18	taxon 19	taxon 20	taxon 21	taxon 22	taxon 23	taxon 24	taxon 25	taxon 26	taxon 27	taxon 28	taxon 29	taxon 30	taxon 31	taxon 32	taxon 33	taxon 34	taxon 35	taxon 36	taxon 37	taxon 38	taxon 39	taxon 40	taxon 41	taxon 42	taxon 43	taxon 44	taxon 45	taxon 46	taxon 47	taxon 48	taxon 49	taxon 50	taxon 51	taxon 52	taxon 53	taxon 54	taxon 55	taxon 56	taxon 57	taxon 58	taxon 59	taxon 60	taxon 61	taxon 62	taxon 63	taxon 64	taxon 65	taxon 66	taxon 67	taxon 68	taxon 69	taxon 70	taxon 71	taxon 72	taxon 73	taxon 74	taxon 75	taxon 76	taxon 77	taxon 78	taxon 79	taxon 80	taxon 81	taxon 82	taxon 83	taxon 84	taxon 85	taxon 86	taxon 87	taxon 88	taxon 89	taxon 90	taxon 91	taxon 92	taxon 93	taxon 94	taxon 95	taxon 96	taxon 97	taxon 98	taxon 99	taxon 100	taxon 101	taxon 102	taxon 103	taxon 104	taxon 105	taxon 106
Dropbox	PubMed	28863139	Figure 3	Differential abundance of microbial taxa for ADHD cases versus healthy controls	0.1	NA	no	77	19	cases were diagnosed based on DSM-IV symptoms using the Schedule for Affective Disorders and Schizophrenia for School-Age Children	case-control	NA	NA	NA	Netherlands	human	feces	attention deficit hyperactivity disorder	16S	V3-V4	Roche454	2018-12-09	Fatima Zohra	Shaimaa Elsafoury	ADHD vs. Controls 	DOWN	Mann-Whitney (Wilcoxon)	NA	NO	NO	NA	NA	NA	k__Bacteria|p__Firmicutes	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acetivibrio	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus																																																																																																		
Dropbox	PubMed	28442250	Figure 2	Taxonomic differences of fecal microbiota between first episode psychosis patients and healthy controls	0.05	2	no	16	28	NA	case-control	age, sex, region of residence	NA	3 months	Finland	human	feces	psychosis	16S	NA	Illumina	2018-12-10	Fatima Zohra	Shaimaa Elsafoury	FIrst episode Psychosis vs. Controls	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcales_unclassified|g__Tropheryma	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Ochrobactrum	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Cellvibrionaceae|g__Saccharophagus	k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae|g__Halothiobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus	k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cenocepacia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus_acidiphilus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae|g__Halothiobacillus|s__Halothiobacillus_neapolitanus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Cellvibrionaceae|g__Saccharophagus|s__Saccharophagus_degradans	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Francisellaceae|g__Francisella|s__Francisella_hispaniensis	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcales_unclassified|g__Tropheryma|s__Tropheryma_whipplei	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella|s__Brucella_canis	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_lacusprofundi	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Nitrosococcus|s__Nitrosococcus_halophilus	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_clarridgeiae	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Ochrobactrum|s__Ochrobactrum_anthropi	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium																																																																											
Dropbox	PubMed	28442250	Figure 2	Taxonomic differences of fecal microbiota between first episode psychosis patients and healthy controls	0.05	2	no	16	28	NA	case-control	age, sex, region of residence	NA	3 months	Finland	human	feces	psychosis	16S	NA	Illumina	2018-12-10	Fatima Zohra	Shaimaa Elsafoury	FIrst episode Psychosis vs. Controls	DOWN	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales|f__Nostocaceae|g__Anabaena	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	k__Bacteria|p__Firmicutes|c__Negativicutes	k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_gammatolerans	s__leuconostoc_gasicomi	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_sp	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella|s__Gallionella_capsiferriformans	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales|f__Nostocaceae|g__Trichormus|s__Trichormus_variabilis	k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_chlorochromatii	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_multiformis	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus_nematophila																																																																																												
Dropbox	PubMed	28442250	Supplemental Table 1+results (text)	Taxonomic differences of fecal microbiota between physically active psychosis patients and healthy controls	0.05	2	no	16	15	NA	case-control	age, sex, region of residence		3 months	Finland	human	feces	psychosis	16S	NA	Illumina	2018-12-10	Fatima Zohra		FIrst episode Psychosis (physically active) vs. Controls	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae																																																																																																							
Dropbox	PubMed	28442250	Supplemental Table 1+results (text)	Taxonomic differences of fecal microbiota between physically active psychosis patients and healthy controls	0.05	2	no	16	15	NA	case-control	age, sex, region of residence		3 months	Finland	human	feces	psychosis	16S	NA	Illumina	2018-12-10	Fatima Zohra		FIrst episode Psychosis (physically active) vs. Controls	DOWN	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Negativicutes	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae																																																																																																							
Dropbox	PubMed	30483228	Figure 2+ text 	Differentially abundundant gut microbiota in cholestatic infants vs healthy infants	0.05	NA	yes	37	43	NA	case-control	NA	age,gender, delivery pattern, feeding pattern	4 weeks	China	human	feces	extrahepatic cholestasis	16S	V3-V4	Illumina	2018-12-13	Christina Brown	Shaimaa Elsafoury	cholestasis infants vs. healthy infants	UP	Mann-Whitney (Wilcoxon)	NA	NO	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Phyllobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas																																																																																																				
Dropbox	PubMed	30483228	Figure 2 + text 	Differentially abundundant gut microbiota in cholestatic infants vs healthy infants	0.05	NA	yes	37	43	NA	case-control	NA	age,gender, delivery pattern, feeding pattern	4 weeks	China	human	feces	extrahepatic cholestasis	16S	V3-V4	Illumina	2018-12-13	Christina Brown	Shaimaa Elsafoury	cholestasis infants vs. healthy infants	DOWN	Mann-Whitney (Wilcoxon)	NA	YES	NA	NA	NA	NA	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella																																																																																																			
Dropbox	PubMed	27283393	Table 4	The LEfSe analysis revealed 22 OTUs with a consistent and significant overabundance in either patients or controls	0.05	NA	no	15	31	NA	case-control	NA	NA	6 months	Turkey	human	oral gland	behcet's syndrome	16S	V4	Illumina	2018-12-13	Rimsha Azhar	Shaimaa Elsafoury	behcet's disease vs. controls	UP	LEfSe	NA	NA	NA	NA	NO	NA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella																																																																																																								
Dropbox	PubMed	27283393	Table 4	The LEfSe analysis revealed 22 OTUs with a consistent and significant overabundance in either patients or controls	0.05	NA	no	15	31	NA	case-control	NA	NA	6 months	Turkey	human	oral gland	behcet's syndrome	16S	V4	Illumina	2018-12-13	Rimsha Azhar	Shaimaa Elsafoury	behcet's disease vs. controls	DOWN	LEfSe	NA	NA	NA	NA	YES	NA	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_sp	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_orale	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_enoeca																																																																																											
Dropbox	PubMed	27283393	text 	the association between the use of immunosuppressants in BD patients with gut microbiota	0.05	NA	no	19	12	NA	case-control	NA	NA	6 months	Turkey	human	oral gland	behcet's syndrome	16S	V4	Illumina	2019-10-10	Shaimaa Elsafoury	Shaimaa Elsafoury	immunosuppressant users vs. non-immunosuppressent users among behcet's patients	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Bergeyella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae																																																																																																							
Dropbox	PubMed	27283393	text 	the association between the use of immunosuppressants in BD patients with gut microbiota	0.05	NA	no	19	12	NA	case-control	NA	NA	6 months	Turkey	human	oral gland	behcet's syndrome	16S	V4	Illumina	2019-10-10	Shaimaa Elsafoury	Shaimaa Elsafoury	immunosuppressant users vs. non-immunosuppressent users among behcet's patients	DOWN	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_baroniae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sp																																																																																																								
Dropbox	PubMed	27450202	Table 1 & Supplementary Table 5	Differential abundance in pediatric obesity  versus normal weight  controls 	0.05	NA	yes	36	42	NA	case-control	NA	age, sex	6 months	Italy	human	feces	obesity	16S	NA	Illumina	2018-12-15	Marianthi Thomatos	Shaimaa Elsafoury	pediatric obese vs. controls	UP	Linear Regression	NA	NO	NO	NA	NO	NO	k__Bacteria|p__Firmicutes	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii																																																																																																					
Dropbox	PubMed	27450202	Table 1 & Supplementary Table 5	Differential abundance in pediatric obesity  versus normal weight  controls 	0.05	NA	yes	36	42	NA	case-control	NA	age, sex	6 months	Italy	human	feces	obesity	16S	NA	Illumina	2018-12-15	Marianthi Thomatos	Shaimaa Elsafoury	pediatric obese vs. controls	DOWN	Linear Regression	NA	NO	NO	NA	NO	NO	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris																																																																																																			
Dropbox	PubMed	30466372	Figure 3a & 3b	Relative abundance of rats fed high fat and high surgar diet (HFHS) VS. Controls	0.05	NA	yes	8	8	NA	laboratory experiment	NA	NA	NA	Australia	rat	feces	obesity	16S	V3-V4	Illumina	2018-12-15	Marianthi Thomatos	Shaimaa Elsafoury	Rats fed  HFHS vs. control rats	UP	DESeq2	NA	NO	NO	NO	NA	NO	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum																																																																																																						
Dropbox	PubMed	30466372	Figure 3a & 3b	Relative abundance of rats fed high fat and high surgar diet (HFHS) VS. Controls	0.05	NA	yes	8	8	NA	laboratory experiment	NA	NA	NA	Australia	rat	feces	obesity	16S	V3-V4	Illumina	2018-12-15	Marianthi Thomatos	Shaimaa Elsafoury	Rats fed  HFHS vs. control rats	DOWN	DESeq2	NA	NO	NO	NO	NA	NO																																																																																																										
Dropbox	PubMed	27007700	Text, figure 2	Relative abundance of bacterial and fungal gut microbes in obese children vs. controls	0.05	NA	no	33	28	NA	case-control	age, sex 	NA	previous month	Italy	human	feces	obesity	16S	V2-V3	RT-qPCR	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	pediatric obese vs. controls	UP	Mann-Whitney (Wilcoxon)	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	27007700	Text, figure 2	Relative abundance of bacterial and fungal gut microbes in obese children vs. controls	0.05	NA	no	33	28	NA	case-control	age, sex 	NA	previous month	Italy	human	feces	obesity	16S	V2-V3	RT-qPCR	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	pediatric obese vs. controls	DOWN	Mann-Whitney (Wilcoxon)	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	g__candida_spp	g__saccharomyces_spp																																																																																																				
Dropbox	PubMed	30541450	Text and figure 4	Relative abundance of fiber intake in a cohort of diverse cohort of first year college students living in university housing 	0.05	NA	no	68	68	BMI ≥ 30.0 kg/m2 was considered obese	cross-sectional observational, not case-control	NA	NA	2-3 months 	United States of America	human	feces	obesity	16S	V4	Illumina	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	low vs. high dietary fiber	UP	LEfSe	NA	NA	NO	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus																																																																																																							
Dropbox	PubMed	30541450	Text and figure 4	Relative abundance of fiber intake in a cohort of diverse cohort of first year college students living in university housing 	0.05	NA	no	68	68	BMI ≥ 30.0 kg/m2 was considered obese	cross-sectional observational, not case-control	NA	NA	2-3 months 	United States of America	human	feces	obesity	16S	V4	Illumina	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	low vs. high dietary fiber	DOWN	LEfSe	NA	NA	NO	NA	NA	NO	k__Bacteria|p__Tenericutes																																																																																																									
Dropbox	PubMed	30541450	Text and figure 4	Relative abundance of fiber intake in a cohort of diverse cohort of first year college students living in university housing 	0.05	NA	no	68	68	BMI ≥ 30.0 kg/m2 was considered obese	cross-sectional observational, not case-control	NA	NA	2-3 months 	United States of America	human	feces	obesity	16S	V4	Illumina	2019-10-15	Shaimaa Elsafoury	Shaimaa Elsafoury	low vs. hight moderate to vigrous physical activity	UP	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales																																																																																																								
Dropbox	PubMed	30541450	Text and figure 4	Relative abundance of fiber intake in a cohort of diverse cohort of first year college students living in university housing 	0.05	NA	no	68	68	BMI ≥ 30.0 kg/m2 was considered obese	cross-sectional observational, not case-control	NA	NA	2-3 months	United States of America	human	feces	obesity	16S	V4	Illumina	2019-10-15	Shaimaa Elsafoury	Shaimaa Elsafoury	low vs. hight moderate to vigrous physical activity	DOWN	LEfSe	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	f__paraprevotellaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae																																																																																																						
Dropbox	PubMed	26230509	Table 2 and Table 3	Relative microbial abundance in obese Korean adolescents (13-16 year old)	0.05	NA	yes	67	67	body mass index [BMI] ≥ 30 kg/m2, or ≥ 99th BMI percentile	case-control	NA	age, sex 	1 month	South Korea	human	feces	obesity	16S	V1-V3	Roche454	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	obese adolescent vs. control adolescent 	UP	Mann-Whitney (Wilcoxon)	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella																																																																																																						
Dropbox	PubMed	26230509	Table 2 and Table 3	Relative microbial abundance in obese Korean adolescents (13-16 year old)	0.05	NA	yes	67	67	body mass index [BMI] ≥ 30 kg/m2, or ≥ 99th BMI percentile	case-control	NA	age, sex 	1 month	South Korea	human	feces	obesity	16S	V1-V3	Roche454	2018-12-16	Marianthi Thomatos	Shaimaa Elsafoury	obese adolescent vs. control adolescent 	DOWN	Mann-Whitney (Wilcoxon)	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter																																																																																																			
Dropbox	PubMed	26230509	Table 4	Relative microbial abundance in obese Korean adolescents (13-16 year old)	0.05	NA	no	67	67	body mass index [BMI] ≥ 30 kg/m2, or ≥ 99th BMI percentile	case-control	NA	age, sex 	1 month	South Korea	human	feces	obesity	16S	V1-V3	Roche454	2019-03-09	Marianthi Thomatos	Shaimaa Elsafoury	high BMI zscore vs. low BMI zscores	UP	spearman correlation	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella																																																																																																									
